anomaly,z_flag,iso_flag,res_flag,TIT,TAT,TEY,CDP,CO,NOx,TEY_pred,residual
1,0,1,0,1086.2,549.83,134.67,11.898,0.32663,81.952,134.03823649658943,0.6317635034105535
1,0,1,0,1086.1,550.05,134.67,11.892,0.44784,82.377,134.05782980878814,0.6121701912118453
1,0,1,0,1086.5,550.19,135.1,12.042,0.45144,83.776,136.28609549919247,-1.1860954991924757
1,0,1,0,1086.5,550.17,135.03,11.99,0.23107,82.505,135.5928442442219,-0.5628442442219068
1,0,1,0,1085.9,550.0,134.67,11.91,0.26747,82.028,134.4893433563679,0.18065664363209066
1,0,1,0,1086.0,549.98,134.67,11.868,0.23473,81.748,133.8647059715334,0.8052940284665908
1,0,1,0,1085.9,550.04,134.68,11.877,0.44412,84.592,134.0237133282513,0.6562866717487168
1,0,1,0,1086.0,549.88,134.66,11.893,0.79996,84.193,134.25636367787183,0.4036363221281647
1,0,1,0,1086.3,549.98,134.65,11.87,0.68996,83.978,133.8744808232507,0.7755191767492988
1,0,1,0,1083.1,549.8,132.67,11.694,1.0281,82.654,131.08507098574876,1.5849290142512302
1,0,1,0,1085.8,550.04,135.24,11.804,1.0214,81.952,132.35915554560466,2.880844454395344
1,0,1,0,1094.5,534.81,152.6,13.333,0.94292,73.286,153.70812709856992,-1.1081270985699234
1,0,1,0,1100.2,530.58,159.99,13.929,1.0428,70.558,161.78893733385397,-1.7989373338539565
1,0,1,0,1100.2,528.93,160.6,14.049,1.3484,71.115,163.34140374420923,-2.7414037442092365
1,0,1,0,1100.1,529.06,160.4,14.018,1.0686,70.107,162.84112434212662,-2.4411243421266136
1,0,1,0,1100.3,530.67,160.09,13.945,0.21538,67.415,161.8259271245409,-1.7359271245408934
1,0,1,0,1100.2,529.35,160.66,14.025,0.23574,67.49,163.03789793618313,-2.377897936183132
1,0,1,0,1099.8,530.67,160.64,13.826,0.62972,66.863,160.3537961921269,0.2862038078730791
1,0,1,0,1099.8,530.75,160.84,13.913,0.57439,67.361,161.76950125080938,-0.9295012508093805
1,0,1,0,1084.8,549.11,134.26,11.814,0.52213,82.137,132.98433570583978,1.275664294160208
1,0,1,0,1069.3,549.65,121.95,11.132,1.1662,84.908,123.26611468013812,-1.3161146801381136
1,0,1,0,1085.1,549.71,133.51,11.792,0.46707,82.951,132.7093508284031,0.8006491715968878
1,0,1,0,1079.7,550.13,129.19,11.605,0.6789,82.624,130.0524803163891,-0.8624803163891102
1,0,1,0,1082.2,550.1,131.08,11.667,0.67688,84.05,130.98475216418126,0.0952478358187534
1,0,1,0,1079.4,550.09,129.06,11.686,0.9025,85.062,131.31792515103803,-2.257925151038023
1,0,1,0,1084.4,549.93,132.86,11.692,0.6558,82.947,131.4043544469561,1.4556455530439223
1,0,1,0,1074.9,550.06,125.76,11.451,1.0513,83.447,127.97834074012731,-2.218340740127303
1,0,1,0,1082.3,550.02,130.63,11.622,0.76573,82.3,130.23992043741282,0.39007956258717513
1,0,1,0,1086.3,550.04,133.52,11.782,0.67836,82.355,132.29968357465646,1.2203164253435546
1,0,1,0,1085.8,549.87,132.98,11.8,0.71119,80.614,132.33930856013464,0.6406914398653498
1,0,1,0,1088.5,549.87,133.67,11.92,0.83687,79.252,133.60827758433848,0.0617224156615066
1,0,1,0,1086.6,549.85,133.68,11.88,0.9455,74.72,132.52468551885747,1.1553144811425398
1,0,1,0,1085.9,549.71,133.67,11.897,1.3348,78.366,132.51369733605975,1.156302663940238
1,0,1,0,1086.2,549.63,133.67,11.91,1.7444,78.338,132.60795327032508,1.062046729674904
1,0,1,0,1086.6,549.83,133.64,11.856,1.8456,77.351,131.76395456642936,1.8760454335706243
1,0,1,0,1072.5,550.12,123.68,11.224,1.1522,77.843,122.77595616520549,0.9040438347945212
1,0,1,0,1074.5,549.7,125.72,11.324,1.3411,77.931,124.32844725461835,1.3915527453816452
1,0,1,0,1099.6,531.41,158.68,13.734,0.39199,66.904,158.83275980792826,-0.1527598079282484
1,0,1,0,1099.7,533.5,157.24,13.602,0.30271,67.566,156.94672245801428,0.29327754198573075
1,0,1,0,1100.0,531.87,158.75,13.711,0.28619,66.882,158.57631881323977,0.17368118676023414
1,0,1,0,1100.1,530.83,159.5,13.84,0.31771,65.784,160.52465658546905,-1.024656585469046
1,0,1,0,1100.1,530.46,159.5,13.912,0.21372,66.586,161.52150162682034,-2.0215016268203385
1,0,1,0,1089.4,538.27,145.54,12.872,1.4903,70.248,146.49802086812545,-0.958020868125459
1,0,1,0,1081.9,549.7,131.37,11.785,1.1282,76.463,131.10249116383198,0.26750883616801957
1,0,1,0,1084.7,549.94,133.65,11.744,0.96691,76.97,130.76878438490334,2.8812156150966644
1,0,1,0,1085.4,549.83,134.01,11.846,0.84245,74.86,132.2656582472998,1.744341752700194
1,0,1,0,1085.3,550.31,133.67,11.834,0.74312,74.746,132.02274211212273,1.6472578878772595
1,0,1,0,1084.7,549.91,133.67,11.828,0.52938,74.94,131.9783272701436,1.6916727298563785
1,0,1,0,1084.4,549.87,133.66,11.822,0.53702,74.038,131.994651522192,1.6653484778080099
1,0,1,0,1084.6,550.08,133.68,11.81,0.56444,74.382,131.9214743398793,1.7585256601207107
1,0,1,0,1083.4,550.16,132.98,11.725,0.5651,74.48,130.85128568613848,2.128714313861508
1,0,1,0,1085.1,549.72,134.47,11.693,0.52805,76.167,130.4960447158312,3.9739552841687953
1,0,1,0,1084.8,549.17,134.3,11.896,0.65832,75.718,133.37594813771966,0.9240518622803506
1,0,1,0,1100.2,531.59,159.83,13.746,0.1966,67.84,159.72251570881383,0.10748429118618219
1,0,1,0,1099.9,530.58,160.63,13.876,0.35119,67.889,161.5644691458346,-0.9344691458346119
1,0,1,0,1100.3,531.44,160.14,13.894,0.42092,68.51,161.85410956914833,-1.7141095691483486
1,0,1,0,1100.0,530.0,161.16,13.909,0.48485,68.315,162.098219606283,-0.9382196062830133
1,0,1,0,1100.2,530.75,161.04,13.918,0.51052,68.877,162.30304041213859,-1.2630404121385936
1,0,1,0,1099.9,529.5,162.15,13.953,0.46636,67.428,162.88698862995903,-0.7369886299590291
1,0,1,0,1099.8,529.7,163.03,13.831,0.4018,69.13,161.3725928157564,1.6574071842435956
1,0,1,0,1100.0,529.03,163.5,13.922,0.24591,67.957,162.85074105060448,0.6492589493955165
1,0,1,0,1099.9,527.6,164.58,14.073,0.23934,68.939,165.0398996548697,-0.45989965486970164
1,0,1,0,1100.0,528.04,164.28,14.15,0.25726,69.301,166.13468921082784,-1.8546892108278428
1,0,1,0,1100.1,526.15,165.62,14.247,0.26241,68.446,167.56691794723105,-1.946917947231043
